Devices,Run,Algorithm,VCSize,ExecutionTime,Density,Error,ApproximationRatio,GraphFile
12,1,Backtracking,9,0.9997,0.7121,0.0,1.0,graphs/N12_run1_Backtracking.png
12,1,Greedy,9,0.0,0.7121,0.0,1.0,graphs/N12_run1_Greedy.png
12,1,EdgeGreedy,12,0.0,0.7121,33.3333,1.3333,graphs/N12_run1_EdgeGreedy.png
12,2,BruteForce,10,2.9154,0.8788,0.0,1.0,graphs/N12_run2_BruteForce.png
12,2,Backtracking,10,1.076,0.8788,0.0,1.0,graphs/N12_run2_Backtracking.png
12,2,Greedy,10,0.0,0.8788,0.0,1.0,graphs/N12_run2_Greedy.png
12,2,EdgeGreedy,10,0.0,0.8788,0.0,1.0,graphs/N12_run2_EdgeGreedy.png
12,3,BruteForce,10,2.0187,0.8636,0.0,1.0,graphs/N12_run3_BruteForce.png
12,3,Backtracking,10,1.9813,0.8636,0.0,1.0,graphs/N12_run3_Backtracking.png
12,3,Greedy,10,0.0,0.8636,0.0,1.0,graphs/N12_run3_Greedy.png
12,3,EdgeGreedy,12,0.0,0.8636,20.0,1.2,graphs/N12_run3_EdgeGreedy.png
12,4,BruteForce,10,2.9979,0.6515,0.0,1.0,graphs/N12_run4_BruteForce.png
12,4,Backtracking,10,1.0149,0.6515,0.0,1.0,graphs/N12_run4_Backtracking.png
12,4,Greedy,10,0.0,0.6515,0.0,1.0,graphs/N12_run4_Greedy.png
12,4,EdgeGreedy,12,0.0,0.6515,20.0,1.2,graphs/N12_run4_EdgeGreedy.png
12,5,BruteForce,9,1.9982,0.8333,0.0,1.0,graphs/N12_run5_BruteForce.png
12,5,Backtracking,9,1.0002,0.8333,0.0,1.0,graphs/N12_run5_Backtracking.png
12,5,Greedy,9,0.0,0.8333,0.0,1.0,graphs/N12_run5_Greedy.png
12,5,EdgeGreedy,10,0.0,0.8333,11.1111,1.1111,graphs/N12_run5_EdgeGreedy.png
13,1,BruteForce,10,4.9996,0.4615,0.0,1.0,graphs/N13_run1_BruteForce.png
13,1,Backtracking,10,2.0175,0.4615,0.0,1.0,graphs/N13_run1_Backtracking.png
13,1,Greedy,10,0.0,0.4615,0.0,1.0,graphs/N13_run1_Greedy.png
13,1,EdgeGreedy,12,0.0,0.4615,20.0,1.2,graphs/N13_run1_EdgeGreedy.png
13,2,BruteForce,11,5.9988,0.8846,0.0,1.0,graphs/N13_run2_BruteForce.png
13,2,Backtracking,11,4.0019,0.8846,0.0,1.0,graphs/N13_run2_Backtracking.png
13,2,Greedy,11,0.0,0.8846,0.0,1.0,graphs/N13_run2_Greedy.png
13,2,EdgeGreedy,12,0.0,0.8846,9.0909,1.0909,graphs/N13_run2_EdgeGreedy.png
13,3,BruteForce,10,5.0035,0.6282,0.0,1.0,graphs/N13_run3_BruteForce.png
13,3,Backtracking,10,1.0004,0.6282,0.0,1.0,graphs/N13_run3_Backtracking.png
13,3,Greedy,10,0.9997,0.6282,0.0,1.0,graphs/N13_run3_Greedy.png
13,3,EdgeGreedy,12,0.0,0.6282,20.0,1.2,graphs/N13_run3_EdgeGreedy.png
13,4,BruteForce,10,5.0771,0.6282,0.0,1.0,graphs/N13_run4_BruteForce.png
13,4,Backtracking,10,1.0002,0.6282,0.0,1.0,graphs/N13_run4_Backtracking.png
13,4,Greedy,10,0.0,0.6282,0.0,1.0,graphs/N13_run4_Greedy.png
13,4,EdgeGreedy,12,0.0,0.6282,20.0,1.2,graphs/N13_run4_EdgeGreedy.png
13,5,BruteForce,11,4.9977,0.7564,0.0,1.0,graphs/N13_run5_BruteForce.png
13,5,Backtracking,11,3.0005,0.7564,0.0,1.0,graphs/N13_run5_Backtracking.png
13,5,Greedy,11,0.0,0.7564,0.0,1.0,graphs/N13_run5_Greedy.png
13,5,EdgeGreedy,12,0.0,0.7564,9.0909,1.0909,graphs/N13_run5_EdgeGreedy.png
14,1,BruteForce,11,9.0013,0.6593,0.0,1.0,graphs/N14_run1_BruteForce.png
14,1,Backtracking,11,2.9998,0.6593,0.0,1.0,graphs/N14_run1_Backtracking.png
14,1,Greedy,12,0.0,0.6593,9.0909,1.0909,graphs/N14_run1_Greedy.png
14,1,EdgeGreedy,12,0.0,0.6593,9.0909,1.0909,graphs/N14_run1_EdgeGreedy.png
14,2,BruteForce,11,8.0602,0.5934,0.0,1.0,graphs/N14_run2_BruteForce.png
14,2,Backtracking,11,2.9147,0.5934,0.0,1.0,graphs/N14_run2_Backtracking.png
14,2,Greedy,11,0.0,0.5934,0.0,1.0,graphs/N14_run2_Greedy.png
14,2,EdgeGreedy,12,0.0,0.5934,9.0909,1.0909,graphs/N14_run2_EdgeGreedy.png
14,3,BruteForce,11,8.9993,0.5165,0.0,1.0,graphs/N14_run3_BruteForce.png
14,3,Backtracking,11,1.9984,0.5165,0.0,1.0,graphs/N14_run3_Backtracking.png
14,3,Greedy,11,0.0,0.5165,0.0,1.0,graphs/N14_run3_Greedy.png
14,3,EdgeGreedy,12,0.0,0.5165,9.0909,1.0909,graphs/N14_run3_EdgeGreedy.png
14,4,BruteForce,11,7.9119,0.5714,0.0,1.0,graphs/N14_run4_BruteForce.png
14,4,Backtracking,11,2.9988,0.5714,0.0,1.0,graphs/N14_run4_Backtracking.png
14,4,Greedy,11,0.0,0.5714,0.0,1.0,graphs/N14_run4_Greedy.png
14,4,EdgeGreedy,14,0.0,0.5714,27.2727,1.2727,graphs/N14_run4_EdgeGreedy.png
14,5,BruteForce,12,17.3855,0.6374,0.0,1.0,graphs/N14_run5_BruteForce.png
14,5,Backtracking,12,7.0012,0.6374,0.0,1.0,graphs/N14_run5_Backtracking.png
14,5,Greedy,12,0.0,0.6374,0.0,1.0,graphs/N14_run5_Greedy.png
